"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3649928899.39936","4511689983.5786","8676141792.43035","11884604610.1828","13931608923.2283","15492932497.4168","16698705989.2092","17828681875.5055","19078463464.5436","20259559725.0208","22099722056.914","23974933431.8751","27088029229.5937","29851004866.9147","32788618929.8826","32186153966.1619","32720012370.4838","34346999526.8366","35406749691.3014",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47346730391.7053","48368273292.1308","44645909915.1364","42157241635.9833","37982752156.0243","34824296051.5002","36433285796.7817","41369097564.4875","45474093127.7829","47709667001.6721","51569008680.8568","55230164895.6392","58958797631.346","64440802663.8818","73838257108.9745","83491527463.6557","94801708411.793","105985582064.037","119431143248.014","120677842103.004","131708667769.113","141967718127.699","147565151300.23",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","232964973.364619","258087803.98417","273037217.282466","277859627.756686","293939852.81732","306148329.732483","327310825.196996","374686888.782572","423552221.055275","497030223.57382","570711237.66916","652049752.396267","745916223.544633","810113933.599209","827913596.840005","852630121.363342","880125303.446885","928895643.674041","977182961.246928","1078569684.8204","1245582083.25417","1336966110.25924","1427952388.01476","1593940149.05595","1714471991.48656","1825017016.76289","1971550111.18606","2055899575.76444","2174734058.83194","2193847615.23993","2287667754.9872","2381426573.54484","",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","9657818372.64838","10592096773.5757","10794836335.8169","10768229280.1444","11150230973.3076","11298124650.1739","11253445375.9124","11868512443.8904","12639157556.814","13612020067.9782","14783223234.2677","16090630246.4343","16700064513.7773","17794800549.538","19004548001.2306","20356448788.6234","21620440831.1246","23129003374.9088","24633512014.5618","25101410571.2531","26287653199.3093","27336285347.7144","28470689835.7879","29858614638.2179","31979191656.0414","34501536008.0614","37322982219.3029","40157969728.1237","43569714323.7184","45371743255.9953","47867867051.4085","51435805684.9113","55383342789.2905",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","439710227846.393","459792837933.299","490637487495.263","492653322456.162","538089423802.886","598584029445.444","660854020742","704701865212.71","728493426269.63","780706858522.408","775472208108.79","813949679630.277","827213639082.917","884786174509.912","950959293819.034","1016062321237.43","1056286179094.23","1112985172597.97","1129021718250.65","1148504560055.73","1223876754467.12","1268080746056.33","1322899722341.74","1366256129107.46","1484929080618.47","1582643100447.97","1698318449080.01","1854075997982.08","1993038200335.94","2003955240109.86","2183752336048.08","2291153367133.04","2365778844274.62",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","2190177517.4538","2450326586.16819","2547863419.68939","2801376166.52315","3053312836.24149","3016779528.47476","3028464830.67794","2938297264.52274","3032395478.2529","3217122076.5611","3341021493.65261","3462541748.52352","3754980095.81084","3964319626.24817","4126736477.93252","4313492858.71027","4188335490.49904","4105441830.10275","4276095209.36135","4558356419.21888","4859542248.90883","5187828948.55148","5363729663.96196","5492208554.11821","5246833722.89389","","","",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","7283671586.35963","6386862933.1823","7044103502.96495","7359456025.39347","7681660602.74318","7798243710.31292","7756116372.42649","8143761409.00191","8519835913.22244","8745593846.07504","9176167160.90655","9786493353.14997","10468136407.4595","10730220537.42","11293070454.8132","12073348425.9255","12640797386.5071","12694929813.4141","12801375935.9292","13385528833.4579","14064818062.544","14778374983.4795","15599884043.8426","16391047400.8447","16936858199.5694","17566847030.2451","18931013113.8648","19509956519.1776","19554749710.2606","19378366741.9083","20147968919.0997","21031031410.4214","21992037341.7347",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","179532993.698444","223668605.749788","245397400.771131","283958265.966795","307828187.241128","330590101.253739","377629242.547938","500234041.644571","543470924.618057","605844137.589244","697214588.800134","717968029.679658","766819516.081057","799196946.22016","855846773.814259","937709741.976817","1007423251.45936","1082024979.90417","1162116054.73919","1273299593.05561","1391038591.91145","1539279572.28541","1732088687.00285","1904124111.16492","2073088804.63123","2294458187.10029","2530702636.9876","3070871654.22682","3285340325.44749","3537194812.26751","4003094917.62113","4436144098.50907","4969751120.88439",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","1632683521.4098","1947575991.64463","2317606314.73182","2726021421.2008","3070100367.03214","3389293509.25857","3748275255.34476","4316513468.20835","5335627362.14241","6259513702.49958","6936934937.53881","7707665959.88678","8099588667.12765","8435762203.65444","8919790045.7892","9529257215.96482","10236442769.6008","11494856869.4639","12888802676.0256","13740256931.8696","14863750310.1313","15739454835.4349","17436098717.0377","18920560939.534","20615343094.0641","21649422857.1651","23495547714.3436","26324541794.281","27902112666.4735","25845838460.5986","28442540757.8723","30812211885.4065","32706615465.3997",
